"房子名称","房子价格","房子单价","房子类型","房子地址","房子大小"
"急售 照母山 金州商圈旁 临轻轨站 交通便利 满两年 总价低","132","17951元/㎡","2室2厅1卫","金科时代中心-汽博中心二手房出售-湖宁路80号","73㎡"
"温泉城街面，豪装两室轻松改三房全屋定家具家电业主诚心出售","55","9166元/㎡","2室2厅1卫","泽胜温泉城四...-其他二手房出售-兴涪路","60㎡"
"融科金湖湾 温馨住家装修2房 电梯高层 通风静谧","140","18734元/㎡","2室2厅1卫","融科金湖湾-鸳鸯二手房出售-湖津路121号","74㎡"
"中冶北麓原精装板楼，四房二厅，朝中庭和保利，满二年，有性价比","275","18995元/㎡","4室2厅2卫","中冶北麓原-鸳鸯二手房出售-金开大道1122号","144㎡"
"长寿同元御府华庭全新精装满2年，学区房急售","39","6842元/㎡","2室2厅1卫","同元御府华庭-凤城二手房出售-桃源西四路3号","57㎡"
"北滨路君豪酒店旁，豪装3房，158万","158","18372元/㎡","3室2厅1卫","鹏润蓝海A区-北滨路二手房出售-兴竹路19号","86㎡"
"渝北回兴 香山美筑 简单装修一室一厅 业主诚心出售","52","11818元/㎡","1室1厅1卫","香山美筑-回兴二手房出售-兴科四路66号","44㎡"
"海兰云天，度假洋房，风景优美，上佳视角。","72","5714元/㎡","3室2厅2卫","海兰云天拾光...-走马二手房出售-海含路","126㎡"
"大学城恒大未来城 精装单间配套 住家方便 带树人指标","40","10526元/㎡","1室1厅1卫","旭阳台北城-大学城二手房出售-大学城中路3号","38㎡"
"南坪三号线 会展旁 亚太商谷 装修2房 59平售95万","95","16101元/㎡","2室1厅1卫","亚太商谷-南坪二手房出售-亚太路1号","59㎡"
"鸳鸯62万的两房 楼下50米轻轨站 多路公交直达","62","8266元/㎡","2室2厅1卫","丹鹤社区-鸳鸯二手房出售-鸳鸯路,近鸳鸯北路","75㎡"
"天星桥 柑子村 正规两房 带露台 住家装修 户型方正 采光好","72","8421元/㎡","2室2厅1卫","柑子村-天星桥二手房出售-柑子村1-100号","85㎡"
"南坪二塘轻轨站 精装带租约公寓 32平租金2千5起 速度抢购","59","18380元/㎡","1室1厅1卫","天景美梦城真-学府大道二手房出售-学府大道69号","32㎡"
"中冶熙城商街 24万起 1室1厅1卫 精装修超好","24","8275元/㎡","1室1厅1卫","中冶熙城商街-跳磴二手房出售-石林大道","29㎡"
"大渡口中心位置 科而士 天辰华府精装修 两房带大阳台","110","13095元/㎡","2室2厅1卫","科而士天辰华...-九宫庙二手房出售-松青路1109号","84㎡"
"步行街核心地段，名校指标，精装1房，带家具家电，拎包入住，","52","12682元/㎡","1室1卫","新天泽国际广...-步行街二手房出售-松青路1099号","41㎡"
"新上 渝北民安大道 华夏佳和苑 精装住家两房 户型方正","100","16750元/㎡","2室2厅1卫","华夏佳和苑-龙头寺二手房出售-太湖西路5号","59㎡"
"中国十大豪宅之一 两江新区纯独栋别墅区 山顶看江别墅","2000","20833元/㎡","5室3厅5卫","财信赖特与山-其他二手房出售-逸兴路386号","960㎡"
"回兴 圣湖天域 旁乐信爱琴屿 小两室  50平方","75","15000元/㎡","2室1厅1卫","乐信爱琴屿-双凤桥二手房出售-康兴路2号","50㎡"
"嘉州新牌坊 茂源雅居 正规两房 住家装修 小区安静 住家舒适","138","16046元/㎡","2室2厅1卫","茂源雅居-人和二手房出售-民安大道465号","86㎡"
"复地天玺 个性地中海装修风格 正规大4房 让您的生活更高一度","250","17241元/㎡","4室2厅3卫","复地天玺-鸳鸯二手房出售-金渝大道，近金开大道","145㎡"
"复地天玺 刚需正规两房 你婚房的重要决定 轻轨上盖 中间位置","158","17954元/㎡","2室2厅1卫","复地天玺-鸳鸯二手房出售-金渝大道，近金开大道","88㎡"
"新牌坊转盘,装修两居室,价格90万元,90万两房哦","90","16666元/㎡","2室1厅1卫","君悦世纪-加洲新牌坊二手房出售-红锦大道518号","54㎡"
"茶园碧桂园麓铭府 开盘 刚需盘 面积小 总价低 看房联系","93","9029元/㎡","2室2厅2卫","麓铭府-界石二手房出售-东城大道","103㎡"
"北城蓝湖一期正3室户型好采光好，朝中庭精装修","69.8","7270元/㎡","3室2厅1卫","北城蓝湖A区-其他二手房出售-塔山东街66号","96㎡"
"温莎名苑正3室户型方正采光好精装修小区环境优美","70.8","7375元/㎡","3室2厅2卫","柏涟温莎名苑-其他二手房出售-学府大道","96㎡"
"金豪嘉苑洋房正4室格局方正采光好楼层适中南北朝向","94.8","6949元/㎡","4室2厅2卫","金豪嘉苑-其他二手房出售-龙城大道388号","136㎡"
"九曲河  东原江山樾联排别墅 带学校指标 公园环绕","450","16071元/㎡","5室3厅5卫","江山樾-大竹林二手房出售-金通大道,近平祥路","280㎡"
"I新房源    蔡家恒大旁    豪装大三房    赶紧来看","140","12727元/㎡","3室2厅2卫","保亿丽景紫园...-蔡家岗二手房出售-嘉运大道77号","110㎡"
"渝能嘉湾    看江大平层  开盘只需100多万","115","13097元/㎡","3室1厅1卫","渝能嘉湾壹号-蔡家岗二手房出售-同康路18号","87㎡"
"渝北公园旁 鹏润悦秀上东洋房 开发商一手流程 8中 医院","172","15221元/㎡","4室2厅2卫","鹏润悦秀上东-悦来二手房出售-同茂大道23号","113㎡"
"诚售融城华府 叠下豪装别墅 还带车位 门口轻轨站 带沙小指标","278","11031元/㎡","4室2厅2卫","融城华府-大学城二手房出售-大学城北路","252㎡"
"南坪五公里轻轨站旁 正规一室一厅带外阳台 读江南小学","75","15000元/㎡","1室1厅1卫","华宇江南枫庭-其他二手房出售-学府大道16号","50㎡"
"大渡口钓鱼嘴中州半岛城帮 一手房源 洋房社区 滨江路江景","130","11403元/㎡","3室1厅2卫","中洲半岛城邦-茄子溪二手房出售-大滨中路1166号","114㎡"
"龙湖品质物业 140万可买实际使用面积235平 叠拼别墅","140","8860元/㎡","5室3厅3卫","海兰云天畔山...-华岩二手房出售-华龙大道56号","158㎡"
"好房不等人 龙腾盛世家装三室 业主急需用钱 忍痛割爱","83.8","8135元/㎡","3室2厅2卫","龙腾盛世-塔山街120号","103㎡"
"恒达未来城精装三房 带100平方露台 全新装修未住人看房方便","118","13882元/㎡","3室2厅1卫","旭阳台北城敦...-大学城二手房出售-大学城南二路","85㎡"
"北滨江景房 精装修 带露台 跃层 带庭影院 轻轨站","420","18750元/㎡","5室2厅3卫","招商江湾城-华新街二手房出售-北滨一路363号","224㎡"
"(轻轨旁)正规精装三房双卫带外阳台，拎包入住，全朝中庭。","88","10000元/㎡","3室2厅2卫","正源福源-蔡家岗二手房出售-蔡扬路355号","88㎡"
"解放碑财信渝中城  民宿精装房出售  现自营中月收入6千","128","24615元/㎡","1室1厅1卫","财信渝中城-解放碑二手房出售-中山一路6号","52㎡"
"香堤花径精装修正规2房，户型方正，采光好，拎包入住","99","14776元/㎡","2室2厅1卫","东朝香堤花径-农业园区二手房出售-金果支路6号","67㎡"
"石桥铺3000旅居 精装酒店公寓 5米1层高 月租5000起","90","26470元/㎡","2室2厅1卫","鹏润悦秀城-石桥铺二手房出售-石杨路,近朝阳路","34㎡"
"石桥铺，3000旅居托管式服务，租金4000起，精装修带家电","80","23529元/㎡","1室1厅1卫","鹏润悦秀城-石桥铺二手房出售-石杨路,近朝阳路","34㎡"
"快抢新牌坊嘉州小户，轻轨旁，碧桂园大盘，商圈环绕，购物便捷","45","12857元/㎡","1室1厅1卫","碧桂园嘉誉-新溉路二手房出售-丽园路","35㎡"
"种花 种草 种果树 养鱼 这个大露台很实惠 只要158万","158","13067元/㎡","3室2厅2卫","翠湖柳岸-回兴二手房出售-宝桐路101号","120㎡"
"鸳鸯双轻轨 大雅金开国际 精装两房 低于市场价10万","107","16984元/㎡","2室2厅1卫","大雅金开国际-其他二手房出售-金开大道1222号","63㎡"
"照母山轻轨五号线湖霞街轻轨出口旁  正规豪装两房 视野好","128","16953元/㎡","2室2厅1卫","康桥融府-汽博中心二手房出售-湖霞街1号","75㎡"
"小广场旁吉宏花园2楼 宽敞3房业主急售（巴川小学指标）","45.8","3202元/㎡","3室2厅2卫","吉宏花园-其他二手房出售-兴农东街175号","143㎡"
"金山名都精装三房 全朝中庭出售 读金渝 紧邻轻轨站 业主安心","160","16494元/㎡","3室2厅1卫","龙脊金山名都-汽博中心二手房出售-金渝大道83号","97㎡"
"两江新区 远洋九公子洋房出炉 全智能配套花园洋房","160","13913元/㎡","3室2厅2卫","远洋九公子-大竹林二手房出售-金通大道,近礼洁路","115㎡"
"悦来国际会展 酒店行业空缺单价1万总价40万左右","43.9","12194元/㎡","1室1厅1卫","融创国博城(...-悦来二手房出售-悦城路36号","36㎡"
"品质小区   带大露台  2房","110","11702元/㎡","2室2厅1卫","丽源岛-回兴二手房出售-湖滨东路73号","94㎡"
"看江端头户型 视野开阔 价格合理","128","15312元/㎡","3室1厅1卫","国富沙磁巷-磁器口二手房出售-沙滨路101号","83㎡"
"轻轨精装电梯洋房，带产权车位，赠送15平，带读书指标","258","17432元/㎡","4室2厅2卫","山水一舍-茶园新区二手房出售-同景路8号","148㎡"
"沙坪坝双碑 首创城三期天阅嘉陵 全智能化大平层看中庭主题公园","220","13511元/㎡","3室2厅2卫","首创城-双碑二手房出售-奋发路","162㎡"
"沙坪坝西永西城科景 3室一厅出售  低楼层 有证满2 可按揭","52","5714元/㎡","3室2厅1卫","西城科景-大学城二手房出售-西园二路9号","91㎡"
"大学城联排别墅只要170万龙湖天街旁边周边配套设施完善","170","10625元/㎡","5室3厅3卫","宝嘉花与山(...-大学城二手房出售-学智路717号","160㎡"
"江北嘴寰宇天下精装3房带家电出售看江看房方便","360","30000元/㎡","3室2厅2卫","寰宇天下天悦-北滨路二手房出售-东升门路15号","120㎡"
"新城 核 心 区美丽泽京精装两房 户型方正采光好","56.8","8114元/㎡","2室1厅1卫","美丽泽京-金龙大道","70㎡"
"沙坪坝三峡广场步行街，带指标，小孩可以读沙小，出入方便","53","14722元/㎡","1室1卫","双巷子社区-三峡广场二手房出售-三峡广场步行街6号","36㎡"
"锦天水岸经典户型豪华装修 硅藻泥，户型合理，精心设置","36.8","7829元/㎡","2室1厅1卫","锦天水岸-其他二手房出售-金龙大道21号","47㎡"
"天星桥 帛金大厦 正规两房 两厅 精装修 户型方正 家电齐全","110","13253元/㎡","2室2厅1卫","帛金大厦-小龙坎二手房出售-天星桥正街46号","83㎡"
"嘉州山顶道国宾城 精装大一房 位置地段好 住家","110","17187元/㎡","1室1厅1卫","山顶道国宾城...-加洲新牌坊二手房出售-新溉大道18号","64㎡"
"两江新区国博城别墅区的洋房底跃带双层地下室前后花园80平米","270","10800元/㎡","5室3厅4卫","融创国博城-悦来二手房出售-悦城路36号","250㎡"
"好消息 下南石家园新出精装两房 价格美丽 业主安心卖 待拆迁","65","12500元/㎡","2室2厅1卫","南石家园-石马河二手房出售-松石大道550号","52㎡"
"江北南桥寺小天鹅精装三房带私家露台中间楼层","145","14356元/㎡","3室2厅2卫","小天鹅花园-南桥寺二手房出售-盘溪路,近盘溪五支路","101㎡"
"空港广场旁金易星辰 正规三房加书房 双卫户型 钥匙在手随时看","150","11474元/㎡","4室2厅2卫","金易星辰-空港新城二手房出售-汉渝路198号","130㎡"
"118万 买宝嘉花与山 精装三房双卫 全新装修 朝南 读树人","118","11919元/㎡","3室2厅2卫","宝嘉花与山(...-大学城二手房出售-学智路717号","99㎡"
"尚品国际，清水3房户型方正采光好","56","6746元/㎡","3室2厅1卫","尚品国际-东莘路99号","83㎡"
"尚品国际，清水3房户型方正采光好","56","6746元/㎡","3室2厅1卫","尚品国际-东莘路99号","83㎡"
"沙坪坝大学城富力城公寓 清水现房不通气 32万左右首付18万","28","7567元/㎡","1室1厅1卫","富力城河畔里...-大学城二手房出售-大学城南路20号","37㎡"
"渝北恒大精装高层  户型方正大气上档次 南北通透朝小区超安静","105","16153元/㎡","2室2厅1卫","恒大世纪城-汽博中心二手房出售-湖红路56号","65㎡"
"双福李子湖畔 豪装三房 ***业主净收58万 全款","58","6823元/㎡","3室2厅1卫","李子湖畔-福星大道18号","85㎡"
"大学城金科廊桥美丽墅 精装三房 采光好 享别墅环境 树人指标","100","11235元/㎡","3室2厅1卫","金科廊桥水乡...-大学城二手房出售-大学城学智路155号","89㎡"
"高庙村轻轨站旁 石小路正规两房简装 出门就是轻轨站 出行方便","46","7540元/㎡","1室1厅1卫","石小路62号...-小龙坎二手房出售-石小路62号","61㎡"
"空港广场旁金易星辰 正规三房加书房 双卫户型 钥匙在手随时看","150","11474元/㎡","4室2厅2卫","金易星辰-空港新城二手房出售-汉渝路198号","130㎡"
"空港广场 名人港湾正规三房双卫 业主住家装修 随时看拎包入住","95","8260元/㎡","3室2厅2卫","名人港湾1期-空港新城二手房出售-凤鸣路32号","115㎡"
"急售 观音桥煌华晶萃城正规两房，带租期出售，性价比高。","130","21666元/㎡","2室1厅1卫","煌华晶萃城-观音桥二手房出售-三钢一路,近建新南路","60㎡"
"石桥铺3000旅居5.1米跃层 托管运营回 报率8.85个点","78.5","21216元/㎡","2室1厅2卫","鹏润悦秀城-石桥铺二手房出售-石杨路,近朝阳路","37㎡"
"解放碑地标精装大平层。凯德来福士。成功者象征，一线江景洪崖洞","888.9","44444元/㎡","4室3厅4卫","重庆来福士广...-朝天门二手房出售-陕西路9号","200㎡"
"朝天扬帆 城市核心地标来福士 不变的朝天门 一线看江大平层","290","29591元/㎡","1室2厅1卫","重庆来福士广...-朝天门二手房出售-陕西路9号","98㎡"
"天星桥中学对面  西南医院附近 时代YOHO 住家精装修阳","82","12347元/㎡","2室2厅1卫","时代YOHO-天星桥二手房出售-都市花园东路68号","66㎡"
"金鹏两江时光 旁在水一方 可改三室","86","10492元/㎡","2室2厅1卫","在水一方-回兴二手房出售-宝圣大道99号","81㎡"
"业主急售 金鹏两江时光 满两年的房子 低价可以谈","115","14024元/㎡","2室1厅1卫","金鹏两江时光-农业园区二手房出售-宝圣大道599号","82㎡"
"金鹏两江时光渝北 旁云湖花园楼梯 2楼正两室一厅 朝中庭房子","65.8","10039元/㎡","2室1厅1卫","云湖花园-回兴二手房出售-宝圣大道1018号","65㎡"
"全指标大四房，南北通透，装修好，带车位，业主置换诚心出售！","350","20772元/㎡","4室2厅2卫","鲁能星城四街...-龙头寺二手房出售-渝鲁大道777号","168㎡"
"青河苑3房2厅2卫书房精装一楼","115","8846元/㎡","3室2厅2卫","青河苑-农业园区二手房出售-果塘路9号","130㎡"
"上城时代精装两房。轻轨3号线，金竹轻轨站出口旁。精装送装修","72","10220元/㎡","2室2厅1卫","渝开发上城时...-鱼洞二手房出售-箭河路11号","70㎡"
"美丽泽京爱尚里精装修正三室两厅一卫户型采光好中间楼层","82.6","8787元/㎡","3室2厅1卫","美丽泽京爱尚...-金龙大道","94㎡"
"陈家坪核心地段 轻轨站旁 玖城壹号 精装2房 拎包入住","95","15412元/㎡","2室2厅1卫","中国铁建玖城...-二郎二手房出售-石杨路66号","61㎡"
"温莎名苑三室两厅一卫精装修格局方正中间楼层","58","7435元/㎡","3室2厅1卫","柏涟温莎名苑-其他二手房出售-学府大道","78㎡"
"四公里 巨成龙湾 住家两房 保持很好 交通方便 业主便宜出售","110","14285元/㎡","2室2厅1卫","巨成龙湾-经开区二手房出售-青龙路8号","77㎡"
"民安大道轻轨站口  锦上华庭观苑   毛坯四房  楼下轻轨","188","16068元/㎡","4室2厅2卫","锦上华庭观苑-龙头寺二手房出售-泰山大道西段6号","117㎡"
"恒大金碧天下 独栋别墅 花园大视野好 不信来看","400","13793元/㎡","5室3厅4卫","恒大金碧天下-恒大大道1号","290㎡"
"千威先生洋房出售 全新装修 欧式风格 环境优美 看房方便","132","15209元/㎡","3室2厅1卫","千威先生的洋...-龙兴二手房出售-观月大道77号","86㎡"
"富力城书香里豪装大平层，视野无敌，错过将永远错过说的就是你哟","140","14432元/㎡","3室2厅2卫","富力城书香里-大学城二手房出售-盛德路943号","97㎡"
"兴隆湖畔荷塘月色标准一房带品牌家具家电直接拎包入住","30.8","5600元/㎡","1室1厅1卫","荷塘月色-开发区红河中路177号","55㎡"
"高庙村地铁出口 荣鼎新苑一室一厅 采光好，户型好业主诚心出售","55","10744元/㎡","1室1厅1卫","荣鼎新苑-杨家坪二手房出售-石小路162号","51㎡"
"石桥铺5.1米跃层 3000旅居托管运营回 报率8.85个点","78.5","21216元/㎡","2室1厅2卫","鹏润悦秀城-石桥铺二手房出售-石杨路,近朝阳路","37㎡"
"悦来生态城一线看江联排6室3厅1厨多阳台花园露台","450","13888元/㎡","6室3厅5卫","融创碧桂园望...-礼嘉二手房出售-悦融一路1号","324㎡"
"渝北鸳鸯康桥融府 精装修正规三房 户型方正视野好无遮挡","172","17916元/㎡","3室2厅2卫","康桥融府-汽博中心二手房出售-湖霞街1号","96㎡"
"水木香山精装3房，带大露台，小区环境舒适，住家安静，洋房品质","169","16745元/㎡","3室2厅2卫","水木香山-空港新城二手房出售-竹音支路18号","100㎡"
"上海城东门 天福克拉精装单配38万 户型方正  租金稳定","38","13571元/㎡","1室1卫","重庆天福克拉...-南坪二手房出售-南坪西路28号","28㎡"
"人和康居两房 户型方正 采光很好 出行方便","68","8143元/㎡","2室2厅1卫","人和康居二期-人和二手房出售-龙寿路1018号","83㎡"
"渝北汽博中心轻轨房 拎包入住精装跃层三房 低于市场价 捡趴活","124","13319元/㎡","3室1厅2卫","龙脊金山名都-汽博中心二手房出售-金渝大道83号","93㎡"
"曦圆柳镇，四房洋房，豪装低跃","175","18817元/㎡","4室2厅2卫","曦圆柳镇一期-花溪二手房出售-红光大道19号","93㎡"
"两江新区悦来 清水小户型公寓 正对悦来会展中心 民宿不二之选","36","10000元/㎡","1室1厅1卫","融创国博城(...-悦来二手房出售-悦城路36号","36㎡"
"银翔翡翠谷B组团 3室2厅2卫 全新精装  市政府法院旁","158","14629元/㎡","3室2厅2卫","银翔翡翠谷B...-茶园新区二手房出售-兴塘路8号","108㎡"
"建面8400一平的正规大三房电梯房 千 万不要错过了 只一套","110","8461元/㎡","3室2厅2卫","恒鑫名城一期-二郎二手房出售-石新路218号","130㎡"
"两江新区，融创国博城联排端，地下全采光，带巴蜀双指标","380","13571元/㎡","6室3厅5卫","融创国博城-悦来二手房出售-悦城路36号","280㎡"
"银海方舟三房92万 急卖 急卖 带入户花园实用面积达100","92","10000元/㎡","3室2厅2卫","银海方舟-二郎二手房出售-科城路89号","92㎡"
"江北区北滨路 精装3室，诚心出售！装修保持良好","200","19120元/㎡","3室2厅2卫","国奥村二期-北滨路二手房出售-国惠路32号","104㎡"
"凤凰湾天骄 清水两室一厅 已满两年 看房方便 价格实惠","98","15710元/㎡","2室1厅1卫","凤凰湾天骄-北滨路二手房出售-宏帆路","62㎡"
"温莎名苑三室两厅两卫清水房户型方正中间楼层","56.8","6107元/㎡","3室2厅2卫","柏涟温莎名苑-其他二手房出售-学府大道","93㎡"
"江北嘴对面 来福士广场 豪装大平层 独揽两江交汇 重庆地标","300","33333元/㎡","1室1厅1卫","重庆来福士广...-朝天门二手房出售-陕西路9号","90㎡"
"金剑小学对面步行楼4楼3室2厅1卫37.8万","37.8","3978元/㎡","3室2厅1卫","金桂苑-金剑路219号","95㎡"
"高品质洋房渝能嘉湾一号读朝阳小学精装三房哦 你值得拥有","120","13793元/㎡","3室1厅1卫","渝能嘉湾壹号-蔡家岗二手房出售-同康路18号","87㎡"
"石坪桥横街 永辉超市 阳光心悦 拎包入住 采光好 配套成熟","68","12830元/㎡","2室2厅1卫","阳光心悦-石坪桥二手房出售-石坪桥横街","53㎡"
"江山国际 精心装修 正规小三房 住家安静","175","18716元/㎡","3室2厅1卫","和泓江山国际-大坪二手房出售-长江二路33号","93㎡"
"融汇半岛三期  精装居家小三室  安心卖  朝中庭住家安静","98","12894元/㎡","3室2厅1卫","融汇香缇卡纳-李家沱二手房出售-融汇大道5号","76㎡"
"蔡家爱琴海 精装3房  拎包入住 带露台","128","14712元/㎡","3室2厅1卫","隆鑫爱琴海3...-蔡家岗二手房出售-同荣路137号","87㎡"
"水天花园洋房 挑高大错层 端户带花园 采光很好 业主安心卖","130","6863元/㎡","5室2厅3卫","水天花园-童家溪二手房出售-同兴北路123号","189㎡"
"老城精装3房 出行方便 配套成熟 视野好看江","80","11111元/㎡","3室2厅1卫","旺德旺城-朝阳二手房出售-文星湾145号","72㎡"
"这个夏天去哪里买房中铁任之健康城，壁山大路镇，城际高铁门口","69","9452元/㎡","2室1厅1卫","中铁任之健康...-三担路","73㎡"
"大学城新盘 富力城院士庭精装修高层 近轻轨 火爆登记中","91","10570元/㎡","3室2厅2卫","富力城瀚湖-沙坪坝二手房出售-大学城中路46号","86㎡"
"鱼轻路 鲁能南渝星城人民广场旁 成熟小区 四校指标 低于市价","95","4418元/㎡","5室2厅2卫","鱼轻路小区-鱼洞二手房出售-鱼轻路47号","215㎡"
"国盛园墅中间跃层,配套设施齐全 实用面积大 环境优雅适合居住","130","15294元/㎡","3室2厅2卫","国盛园墅-大学城二手房出售-西尊路188号","85㎡"
"新杨家坪商圈核心位置，读实验小学，临永辉超市，双轻轨","45","15000元/㎡","1室1厅1卫","蚂蚁公馆-石坪桥二手房出售-杨渡路,近兴堰路","30㎡"
"北岸明珠精装修2房，户型方正，采光好，家具家电齐全","95","13199元/㎡","2室2厅1卫","北岸明珠-农业园区二手房出售-果塘路99号","71㎡"
"南坪万达商圈旁，天信双骄，精装大三房，户型正气，视野好，","155","11923元/㎡","3室2厅2卫","天信双骄-南坪二手房出售-南湖路7号","130㎡"
"九龙坡核心，石桥铺商圈，3000旅居托管式服务，精装修带家电","80","18181元/㎡","2室2厅1卫","鹏润悦秀城-石桥铺二手房出售-石杨路,近朝阳路","44㎡"
"黄泥磅 奔力绿色空间 轻轨站旁 精装两房 出行方便","120","16901元/㎡","2室1厅1卫","奔力绿色空间-龙溪二手房出售-龙越路19号","71㎡"
"本周新推 渝北汽博金山名都轻轨旁大两房 精装 满两年随时看房","140","17073元/㎡","2室2厅1卫","龙脊金山名都-汽博中心二手房出售-金渝大道83号","82㎡"
"cq之颠 270度观江一窗一景色 尽收眼底 生活鉴藏家宜居地","970","44090元/㎡","3室2厅3卫","重庆来福士广...-朝天门二手房出售-陕西路9号","220㎡"
"长寿金科阳光小镇豪装正三室两厅一卫家电齐全拎包入住","67.6","7191元/㎡","3室2厅1卫","金科阳光小镇-凤城二手房出售-菩提大道91号","94㎡"
"杨公桥 烈士墓 林泉雅舍 两室两厅 带大阳台","120","12903元/㎡","2室2厅1卫","华宇林泉雅舍-杨公桥二手房出售-小杨公桥168号","93㎡"
"南滨路纯别墅小区 联排中户可看江 现房送品牌电梯 全套房设计","533","16813元/㎡","5室3厅3卫","峰墅-南滨路二手房出售-腾滨路,近南滨路","317㎡"
"渝北 中央公园 三轻轨环绕 政府办公集结地 环境舒适 宜居","200","15748元/㎡","4室2厅2卫","金辉中央铭著-悦来二手房出售-公园西路","127㎡"
"水天带花园70平米端头洋房，跃层带全赠送地下室，4房格局","140","9150元/㎡","4室2厅2卫","水天花园-童家溪二手房出售-同兴北路123号","153㎡"
"步行街上轻轨房 正规一室 朝小指标","50","11904元/㎡","1室1厅1卫","海宇祥和公寓-城南新区二手房出售-云华路370号","42㎡"
"渝北鲁能星城十二街区 采光充足视野开阔 看中庭带指标 带车位","185","19161元/㎡","2室2厅2卫","鲁能星城十二...-龙头寺二手房出售-渝鲁大道680号","96㎡"
"复地新城就 住家精装3房2卫 家电家具齐全","170","17525元/㎡","2室2厅1卫","复地新城就-农业园区二手房出售-金渝大道81号","97㎡"
"杨家坪商圈旁 华润二十四城小区 精装1室 配套齐全 近轻轨","70","15909元/㎡","1室1厅1卫","华润二十四城...-谢家湾二手房出售-谢家湾正街47号","44㎡"
"旭阳台北城，精装三房两卫，楼层适中，家具家电齐全，拎包入户，","120","12765元/㎡","3室2厅2卫","旭阳台北城-大学城二手房出售-大学城中路3号","94㎡"
"城南世家 精装三房 业主急售","98","14927元/㎡","3室1厅1卫","城南世家-南坪二手房出售-辅仁路19号","65㎡"
"人和轻轨附近 照母山下 品质小区 住家装修 拎包入住","190","17963元/㎡","3室2厅2卫","东原黄山大道...-人和二手房出售-雪松路7号","105㎡"
"轻轨沿线 靠永辉邻学校 公积金首付两成 满两年无营业税","58","6904元/㎡","2室2厅1卫","水岸花都梅芳...-双福大道2号","84㎡"
"渝北公园旁 鹏润悦秀上东洋房直接认购 带8中指标 送花园","168","15700元/㎡","4室2厅2卫","鹏润悦秀上东-悦来二手房出售-同茂大道23号","107㎡"
"汽博中心金山名都精装大2房 拎包入住 交通便利 配套齐全","125","14044元/㎡","2室2厅","龙脊金山名都-汽博中心二手房出售-金渝大道83号","89㎡"
"龙轩大地正3室2厅2卫清水房户型方正采光好","64.8","5400元/㎡","3室2厅2卫","龙轩大地-白龙大道333号","120㎡"
